"","X","data.pt2.date.time","data.pt2.demand.kwh"
"1",1,2013-01-01 00:00:00,7636
"2",2,2013-01-01 01:00:00,7414
"3",3,2013-01-01 02:00:00,6950
"4",4,2013-01-01 03:00:00,6698
"5",5,2013-01-01 04:00:00,6276
"6",6,2013-01-01 05:00:00,6276
"7",7,2013-01-01 06:00:00,6150
"8",8,2013-01-01 07:00:00,6024
"9",9,2013-01-01 08:00:00,6487
"10",10,2013-01-01 09:00:00,6655
"11",11,2013-01-01 10:00:00,6908
"12",12,2013-01-01 11:00:00,7161
"13",13,2013-01-01 12:00:00,7287
"14",14,2013-01-01 13:00:00,7287
"15",15,2013-01-01 14:00:00,6908
"16",16,2013-01-01 15:00:00,6992
"17",17,2013-01-01 16:00:00,6740
"18",18,2013-01-01 17:00:00,6950
"19",19,2013-01-01 18:00:00,8950
"20",20,2013-01-01 19:00:00,8703
"21",21,2013-01-01 20:00:00,8455
"22",22,2013-01-01 21:00:00,8194
"23",23,2013-01-01 22:00:00,7741
"24",24,2013-01-01 23:00:00,2547
"25",25,2013-01-02 00:00:00,5185
"26",26,2013-01-02 01:00:00,4767
"27",27,2013-01-02 02:00:00,3370
"28",28,2013-01-02 03:00:00,4676
"29",29,2013-01-02 04:00:00,4549
"30",30,2013-01-02 05:00:00,4549
"31",31,2013-01-02 06:00:00,4339
"32",32,2013-01-02 07:00:00,4465
"33",33,2013-01-02 08:00:00,4844
"34",34,2013-01-02 09:00:00,5055
"35",35,2013-01-02 10:00:00,5139
"36",36,2013-01-02 11:00:00,5350
"37",37,2013-01-02 12:00:00,5265
"38",38,2013-01-02 13:00:00,5434
"39",39,2013-01-02 14:00:00,5350
"40",40,2013-01-02 15:00:00,5771
"41",41,2013-01-02 16:00:00,7245
"42",42,2013-01-02 17:00:00,7709
"43",43,2013-01-02 18:00:00,9014
"44",44,2013-01-02 19:00:00,9141
"45",45,2013-01-02 20:00:00,8804
"46",46,2013-01-02 21:00:00,8088
"47",47,2013-01-02 22:00:00,7329
"48",48,2013-01-02 23:00:00,6782
"49",49,2013-01-03 00:00:00,6108
