"","date","hour","wind.supply.kwh","wind_mps_corrected_hourly","energy_delivered_hourly"
"1",2013-01-01,0,4314.20181145613,11.54,2750
"2",2013-01-01,1,5133.12773554879,11.4666666666667,3299
"3",2013-01-01,2,4677.28081193453,10.7166666666667,2805
"4",2013-01-01,3,4666.88545309005,10.7,2500
"5",2013-01-01,4,4973.36616736893,11.2,2500
"6",2013-01-01,5,4316.58523397899,10.15,2500
"7",2013-01-01,6,3338.9388745781,9.08333333333333,2488
"8",2013-01-01,7,3937.88101332567,9.75,2378
"9",2013-01-01,8,3859.12593280662,9.63333333333333,2140
"10",2013-01-01,9,4259.23492005243,10.15,2125
"11",2013-01-01,10,4677.27417737001,10.7166666666667,2389
"12",2013-01-01,11,4548.34425756384,10.55,2450
"13",2013-01-01,12,4737.21152980105,10.8166666666667,2555
"14",2013-01-01,13,4621.93630885788,10.6333333333333,2695
"15",2013-01-01,14,3873.54865276669,9.66666666666667,2735
"16",2013-01-01,15,3812.69502919518,9.55,2604
"17",2013-01-01,16,4056.13451765814,9.81666666666667,2600
"18",2013-01-01,17,3865.15081818058,9.6,2682
"19",2013-01-01,18,3353.66911281437,9.1,2887
"20",2013-01-01,19,2690.73174305765,8.41780266666667,2635
"21",2013-01-01,20,2941.08411521199,8.68654933333333,2751
"22",2013-01-01,21,2436.10321274487,8.15072533333333,2131
"23",2013-01-01,22,2127.6601052505,7.82826666666667,1936
"24",2013-01-01,23,1878.59992107012,7.570144,1680
"25",2013-01-02,0,1941.94614664958,8.0390912,1893
"26",2013-01-02,1,3090.3779318948,8.83333333333333,2498
"27",2013-01-02,2,3640.29453854631,9.41666666666667,2412
"28",2013-01-02,3,4033.07198136936,9.81666666666667,2301
"29",2013-01-02,4,4510.76149976577,10.5166666666667,2248
"30",2013-01-02,5,4392.28691037791,10.2833333333333,2000
"31",2013-01-02,6,4381.72534121577,10.2833333333333,2116
"32",2013-01-02,7,4052.88652951344,9.83333333333333,2213
"33",2013-01-02,8,4884.66963170885,11.05,2848
"34",2013-01-02,9,5546.95590495348,12.3,3001
"35",2013-01-02,10,5613.57293614202,12.5333333333333,2998
"36",2013-01-02,11,5202.8430613444,11.5833333333333,3000
"37",2013-01-02,12,4465.24168599397,10.3833333333333,3002
"38",2013-01-02,13,4282.47127435742,10.1,3001
"39",2013-01-02,14,4128.85565750175,9.91666666666667,3002
"40",2013-01-02,15,4359.04040446355,10.2166666666667,3000
